StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consentY/N,attnCheckYoshi,attnCheckJamal,realisticThreatQ,filler1,filler2,filler3,filler4,filler5,filler6,filler7,filler8,filler9,filler10,attitude,emotion,STUDY_ID,SESSION_ID,Condition
12/5/22 15:37,12/5/22 15:42,0,100,262,1,12/5/22 15:42,R_2462n0Zzro6L55Z,,,,,anonymous,EN,1,,2,5,Mark walked to work.,Sally baked a cake.,Johnny saw a dog.,Emma rode her bike.,Will started taking notes.,Mary fed her cat.,Tyler listened to music.,Josh drew a picture.,Lauren did math homework.,Rachel went to sleep.,4,60,638e4b9126ef6a7b1b245296,638e72bde23d6991d6ac3b49,2
12/5/22 15:43,12/5/22 15:45,0,100,117,1,12/5/22 15:45,R_0uK0mQHEfXSwcY9,,,,,anonymous,EN,1,2,,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e73f9b3c804dfefac3b49,1
12/5/22 15:43,12/5/22 15:45,0,100,118,1,12/5/22 15:45,R_1ITdkDhZ1XxX5TJ,,,,,anonymous,EN,1,2,,5,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e74214b841a2af01e745b,1
12/5/22 15:49,12/5/22 15:51,0,100,151,1,12/5/22 15:51,R_28zVuogIa513Hg1,,,,,anonymous,EN,1,2,,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,70,638e4b9126ef6a7b1b245296,638e7516a74d2c640479c7ab,1
12/5/22 15:51,12/5/22 15:52,0,100,83,1,12/5/22 15:52,R_3fv2L9lMKog44SY,,,,,anonymous,EN,1,2,,5,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,5,70,638e4b9126ef6a7b1b245296,638e75dc1549583718f48db2,1
12/5/22 15:48,12/5/22 15:52,0,100,252,1,12/5/22 15:52,R_1I6Hn5hk8Vj9Ewb,,,,,anonymous,EN,1,,2,7,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e752f2113e73326811a29,2
12/5/22 15:50,12/5/22 15:53,0,100,155,1,12/5/22 15:53,R_Q4YLl0oMEhQrmZr,,,,,anonymous,EN,1,,2,7,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,50,638e4b9126ef6a7b1b245296,638e75b6a84d6c1158262b13,2
12/5/22 15:51,12/5/22 15:53,0,100,103,1,12/5/22 15:53,R_rfg1OTD3ouwY7mN,,,,,anonymous,EN,1,,2,5,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren di math homework,Rachel went to sleep,7,60,638e4b9126ef6a7b1b245296,638e75f70ff61e19f4f462be,2
12/5/22 15:54,12/5/22 15:58,0,100,228,1,12/5/22 15:58,R_pbe95s9swupWmBP,,,,,anonymous,EN,1,2,,7,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did match homework,Rachel went to sleep,7,50,638e4b9126ef6a7b1b245296,638e759733184bc4e5699c80,1
12/5/22 15:55,12/5/22 15:58,0,100,169,1,12/5/22 15:58,R_WkwlrjtzREJxvix,,,,,anonymous,EN,1,,2,6,Mark walked to work.,Sally baked a cake.,Johnny saw a dog.,Emma rode her bike.,Will started taking notes.,Mary fed her cat.,Tyler listened to music.,Josh drew a picture.,Lauren did math homework.,Rachel went to sleep.,6,60,638e4b9126ef6a7b1b245296,638e76d5947548e1b6b73b79,2
12/5/22 15:56,12/5/22 15:58,0,100,107,1,12/5/22 15:58,R_1q3S3OqCdthufYP,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep ,5,85,638e4b9126ef6a7b1b245296,638e77233a33c616e0c723cf,1
12/5/22 15:57,12/5/22 15:59,0,100,128,1,12/5/22 15:59,R_XiFgxwNN368uddn,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework ,Rachel went to sleep,4,50,638e4b9126ef6a7b1b245296,638e7765ed12b3a6402727d8,2
12/5/22 15:58,12/5/22 16:00,0,100,153,1,12/5/22 16:00,R_290uFGhqABC2mpB,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike ,Will started taking notes ,Mary fed her cat ,Tyler listened to music,Josh drew a picture ,Lauren did math homework ,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e772fdced8d983a550423,1
12/5/22 15:59,12/5/22 16:01,0,100,141,1,12/5/22 16:01,R_2Xmq1TYQXMdWH6p,,,,,anonymous,EN,1,,2,5,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture ,Lauren did math homework,Rachel went to sleep,6,85,638e4b9126ef6a7b1b245296,638e77b3c2993eb812382f33,2
12/5/22 15:59,12/5/22 16:02,0,100,138,1,12/5/22 16:02,R_26fNsLM6wqwk0tK,,,,,anonymous,EN,1,2,,5,Mark walked to work,Sally baked a cake,Jimmy saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math hoomoework,Rachel went to sleep,6,100,638e4b9126ef6a7b1b245296,638e77e3cf6fa266a494d727,1
12/5/22 16:02,12/5/22 16:05,0,100,193,1,12/5/22 16:05,R_3lXsNohFIJqyWgR,,,,,anonymous,EN,1,,1,5,Mark walked to work ,Sally baked a cake,Johnny saw a dog,Emma rode her bike ,Will started taking notes ,Mary fed her cat,Tyler listen to music,josh drew a picture,Lauren did math homework ,Rachel went to sleep ,7,60,638e4b9126ef6a7b1b245296,638e785d68a63a2246837bbc,2
12/5/22 16:03,12/5/22 16:05,0,100,96,1,12/5/22 16:05,R_sLSxejBGjjadCGB,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e78d098827e6c09d9f8c8,1
12/5/22 16:05,12/5/22 16:07,0,100,125,1,12/5/22 16:07,R_1q89P0X1ovng6MB,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,85,638e4b9126ef6a7b1b245296,638e792923fb5b7c1e40b9b7,2
12/5/22 16:05,12/5/22 16:07,0,100,106,1,12/5/22 16:07,R_5nZCZg3UZKZAOat,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,85,638e4b9126ef6a7b1b245296,638e7940ca842ae164c98a95,2
12/5/22 16:05,12/5/22 16:07,0,100,116,1,12/5/22 16:07,R_1MYgy9KEiWz6Ha4,,,,,anonymous,EN,1,2,,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,70,638e4b9126ef6a7b1b245296,638e7941886127693dd9f8d5,1
12/5/22 16:06,12/5/22 16:09,0,100,138,1,12/5/22 16:09,R_1K7mZWnvdSJpi7o,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,70,638e4b9126ef6a7b1b245296,638e798af5a07309d8499325,2
12/5/22 16:07,12/5/22 16:10,0,100,167,1,12/5/22 16:10,R_VUayqcIRKXhwjTP,,,,,anonymous,EN,1,2,,6,Mark walked to wkrk,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,85,638e4b9126ef6a7b1b245296,638e799c2fc31bec80499328,1
12/5/22 16:08,12/5/22 16:11,0,100,207,1,12/5/22 16:11,R_UR4Vg4PDia6rBUl,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes ,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e79e00d4c2bbc8e837c1f,1
12/5/22 16:15,12/5/22 16:18,0,100,164,1,12/5/22 16:18,R_2dsDhjzvkgwQNqq,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake ,Jonny saw a dog,Emma rode her bike ,Will started taking notes ,Mary fed her car,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,60,638e4b9126ef6a7b1b245296,638e7b8af30a90bdfdad9e52,2
12/5/22 16:16,12/5/22 16:18,0,100,129,1,12/5/22 16:18,R_3r2KuQE1goHGE7P,,,,,anonymous,EN,1,1,,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,50,638e4b9126ef6a7b1b245296,638e7bb6ef4852b1310372a3,1
12/5/22 16:16,12/5/22 16:19,0,100,156,1,12/5/22 16:19,R_1DHHMK1vebsdXeR,,,,,anonymous,EN,1,,2,5,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,85,638e4b9126ef6a7b1b245296,638e7bd39b5b5c9d43c9bd94,2
12/5/22 16:18,12/5/22 16:19,0,100,95,1,12/5/22 16:19,R_2OUe3VtujkYJY1i,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picturw,Lauren did math homework,Rachel went to sleep,6,85,638e4b9126ef6a7b1b245296,638e7c25687ffc698d4d92b6,1
12/5/22 16:17,12/5/22 16:20,0,100,140,1,12/5/22 16:20,R_qUEEga4JjFGxGO5,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake ,Johnny saw a dog ,Emma rode her bike ,Will started taking notes,Mary fed her cat ,Tyler listened to music,Josh drew a picture ,Lauren did math homework ,Rachel went to sleep,7,50,638e4b9126ef6a7b1b245296,638e7c12438a2c4f453774a2,2
12/5/22 16:19,12/5/22 16:21,0,100,119,1,12/5/22 16:21,R_2YSvPdM2ei5FTQJ,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,50,638e4b9126ef6a7b1b245296,638e7c6ba4a3b8d0580f3647,1
12/5/22 16:20,12/5/22 16:22,0,100,148,1,12/5/22 16:22,R_9KV3mf4w19SNxsZ,,,,,anonymous,EN,1,,2,7,Mark walked to work.,Sally baked a cake.,Johnny saw a dog.,Emma rode her bike.,Will started taking notes.,Mary fed her cat.,Tyler listened to music.,Josh drew a picture.,Lauren did math homework.,Rachel went to sleep.,6,70,638e4b9126ef6a7b1b245296,638e7cad0cce90affd382f81,2
12/5/22 16:21,12/5/22 16:23,0,100,141,1,12/5/22 16:23,R_3qw0nQvXmmZiD9P,,,,,anonymous,EN,1,2,,7,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,5,60,638e4b9126ef6a7b1b245296,638e7ce2a955693b6779ef71,1
12/5/22 16:25,12/5/22 16:27,0,100,141,1,12/5/22 16:27,R_1Cxb0iknPG9bH8B,,,,,anonymous,EN,1,2,,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,85,638e4b9126ef6a7b1b245296,638e7dd4fb37cd39cdf48dbb,1
12/5/22 16:29,12/5/22 16:30,0,100,93,1,12/5/22 16:30,R_vqtZmOxMsD0tKzn,,,,,anonymous,EN,1,,2,3,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,70,638e4b9126ef6a7b1b245296,638e7ec44c2d2ab88735a7c9,2
12/5/22 16:30,12/5/22 16:31,0,100,94,1,12/5/22 16:31,R_C9SgbGcpaYdKBkR,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,70,638e4b9126ef6a7b1b245296,638e7effc70699b5290f3630,2
12/5/22 16:18,12/5/22 16:33,0,100,892,1,12/5/22 16:33,R_1HNINiTPfk6JHFL,,,,,anonymous,EN,1,,2,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture ,Lauren did math homework,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e7c15dcba155f8e703c74,2
12/5/22 16:31,12/5/22 16:34,0,100,176,1,12/5/22 16:34,R_2V3K5X5G1jrmc0Y,,,,,anonymous,EN,1,,2,4,Mark walked to work.,Sally baked a cake. ,Johnny saw a dog. ,Emma rode her bike. ,Will started taking notes. ,Mary fed her cat. ,Tyler listened to music. ,Josh drew a picture. ,Lauren did math homework. ,Rachel went to sleep. ,5,70,638e4b9126ef6a7b1b245296,638e7f4050b3a9d1cec203d1,2
12/5/22 16:32,12/5/22 16:34,0,100,157,1,12/5/22 16:34,R_Q3xADzKgLKjhHBT,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,70,638e4b9126ef6a7b1b245296,638e7f19b32954b59e79ef4c,1
12/5/22 16:32,12/5/22 16:35,0,100,173,1,12/5/22 16:35,R_1IH3qL5tbXfgU3V,,,,,anonymous,EN,1,2,,7,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Macy fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework ,Rachel went to sleep,6,85,638e4b9126ef6a7b1b245296,638e7f7685962629b76add51,1
12/5/22 16:32,12/5/22 16:35,0,100,176,1,12/5/22 16:35,R_1JJCTFmMk5nOjeq,,,,,anonymous,EN,1,,2,4,mark walked to work,sally baked a cake,a dog saw johnny,emma rode her bike,will started taking notes,mary fed her cat,tyler listened to music,josh drew a picture,lauren did math homework,rachel went to sleep,4,60,638e4b9126ef6a7b1b245296,638e7f91cd3816134c262af7,2
12/5/22 16:34,12/5/22 16:36,0,100,95,1,12/5/22 16:36,R_Zresi64QYxHeAZb,,,,,anonymous,EN,1,2,,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,50,638e4b9126ef6a7b1b245296,638e8002adb4d29eee262b06,1
12/5/22 16:35,12/5/22 16:38,0,100,166,1,12/5/22 16:38,R_3q7p1MiyyboUQyd,,,,,anonymous,EN,1,,2,7,Mark walked to work,Sally baked a cake,Johnny sawa  dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,50,638e4b9126ef6a7b1b245296,638e803f691a8df3d95561cb,2
12/5/22 16:35,12/5/22 16:38,0,100,150,1,12/5/22 16:38,R_2zRZGKUNffz27ga,,,,,anonymous,EN,1,2,,4,mark walked to work,sally baked a cake,johnny saw a dog,emma rode her bike,will started taking noted,mary fed her cat,Tyler listened to music,josh drew a picture,lauren did math homework,rachel went to sleep,4,50,638e4b9126ef6a7b1b245296,638e80513af22e3ea2235761,1
